"catch","sep_at_throw","sep_at_arrival","defenders_within_3","receiver_speed","height_diff","advantage_at_throw","game_play"
"0",4.7356520142426,4.47329855922897,0,16.159055,2,1.83407946332888,"2023090700_101"
"1",11.0195553449311,10.4419346866373,0,16.77269,-1,10.4920850148835,"2023090700_1154"
"0",0.63560994328283,0.676830850360709,2,13.459061,4,0.345579099198208,"2023090700_1422"
"0",0.87367041840731,0.916078599247903,1,13.6840605,3,0.321495515210576,"2023090700_1494"
"0",1.02825094213427,0.947628619238568,1,18.040869,-2,-0.558853885440367,"2023090700_1588"
"1",4.21379876121297,4.85136063388406,0,19.0022305,4,3.17841388243904,"2023090700_1679"
"1",3.63666055605963,4.03178620464925,0,16.240873,4,2.87403302247344,"2023090700_1711"
"0",2.0214103987068,2.03027091788264,1,19.718138,4,1.17504828743017,"2023090700_2487"
"0",3.85659175957218,3.72780096035183,0,14.440877,2,0.027948895255598,"2023090700_3994"
"0",0.514781507049355,0.575673518584968,1,16.1386005,4,0.508395183406041,"2023090700_4041"
"0",2.04677795571479,2.05009755865422,1,14.6249675,1,0.860105622153153,"2023091000_3078"
"0",1.10652609548985,1.16619037896906,1,16.527236,-1,-0.765551921606917,"2023091000_3369"
"1",1.54806330619907,1.58808060248843,1,17.9795055,5,0.392447428370556,"2023091000_3533"
"1",1.93507105812681,1.94435079139543,1,17.427234,-1,0.400100031645191,"2023091001_2351"
"1",1.12414411887445,1.214907403879,1,16.240873,-1,0.64535760303934,"2023091001_4018"
"0",3.81136458502726,3.86517787430281,0,20.1067735,-3,3.50195518202108,"2023091002_599"
"0",2.11101871142821,1.88875620449013,1,17.631779,-5,-1.71745695087316,"2023091002_1260"
"0",1.56524758424985,1.57012738336735,1,15.381784,5,-0.424359516763754,"2023091002_1412"
"1",3.36879800522382,3.77033155040774,0,17.099962,-5,3.18534071887047,"2023091002_2693"
"0",1.1588356225108,1.09,1,16.0567825,1,-0.180050283359382,"2023091002_2942"
"0",0.988989383158384,0.974063652950875,1,15.872692,-1,-0.111088526962028,"2023091002_3812"
"1",1.01533245786786,1.00184829190851,1,18.531777,-1,-0.18066978837219,"2023091003_410"
"0",4.54370993792518,4.11068120875361,0,14.7476945,0,-1.19272423850604,"2023091003_1782"
"1",1.37032842778657,1.28724512040248,1,16.077237,2,-0.0736379436591523,"2023091003_2608"
"0",4.77353118770581,5.05969366661658,0,16.281782,4,4.77227783307808,"2023091004_196"
"1",1.28062484748657,1.7126879458909,1,15.5658745,2,1.2022290901214,"2023091004_365"
"0",2.8352072234671,3.30056055845064,0,17.3249615,4,2.82553226609267,"2023091004_695"
"1",3.0829369114531,3.29734741875951,0,18.1022325,-1,0.18774381681196,"2023091004_1326"
"0",1.65360212868755,1.93685311781766,1,15.913601,-4,1.19571291653664,"2023091004_2154"
"1",3.24570485411105,2.73029302456714,1,16.77269,3,-1.80187731421256,"2023091004_2177"
"1",2.06409786589686,2.27378539004894,1,15.4022385,2,1.24338370767406,"2023091004_2312"
"1",1.70856665073388,1.7109354166654,1,14.6249675,3,-0.169448665858877,"2023091005_301"
"0",2.16226732852346,2.2382582514089,1,19.0840485,-1,-0.059355294548908,"2023091005_1016"
"0",1.86268623230001,1.62778991273444,1,18.3476865,1,-1.20751041440337,"2023091005_1766"
"0",1.35148066948809,1.35771867483658,1,18.613595,0,0.86343153030445,"2023091005_2440"
"0",6.29936504736787,6.11709898563036,0,15.54542,3,0.342399558483638,"2023091005_3413"
"0",5.65084949366022,6.24028845487129,0,19.8613195,1,4.89343374277556,"2023091005_3875"
"0",1.15412304370028,1.15974135047432,1,15.5658745,-3,0.864953319840753,"2023091006_431"
"0",3.00433020821614,2.82462386876554,1,15.4431475,-3,-0.397143304328967,"2023091006_822"
"0",4.06676775830634,3.85416657657658,0,18.245414,2,-3.4819503052331,"2023091006_2188"
"0",0.94021274188345,0.94873600121425,1,14.2567865,-3,0.0658325014740004,"2023091006_3881"
"1",2.35614091259415,2.6101532522057,1,14.72724,-1,1.78761987001555,"2023091007_2238"
"1",6.35011810913781,6.46696219255996,0,17.18178,1,5.52780776759101,"2023091008_572"
"0",4.16270344848153,3.85332324104792,0,18.40905,3,-3.80535493469992,"2023091008_1626"
"0",5.07173540319288,5.03795593470209,0,16.731781,6,-1.01383156016412,"2023091008_1952"
"1",1.41873182807745,1.64468842033985,1,16.568145,1,1.1739518552709,"2023091008_3010"
"1",12.7745763139135,13.5330188797622,0,15.3204205,6,12.5143467112933,"2023091008_3208"
"0",4.70230794397815,4.83793344311391,0,16.3022365,0,1.95963877937882,"2023091008_3745"
"1",7.56746324735047,7.1557110059029,0,15.9749645,2,2.74941289231094,"2023091009_442"
"0",4.62714814977865,4.91366462021982,0,14.8704215,-2,3.16962501474013,"2023091009_2102"
"0",0.638905313798525,0.617170964968373,1,15.4022385,-1,-0.192232843861015,"2023091009_2430"
"1",1.5478048972658,1.46219013811474,1,13.6840605,3,0.196469608981296,"2023091010_328"
"0",2.85282316311404,3.07065139669094,0,19.5340475,-5,2.52264757666951,"2023091010_607"
"0",0.509901951359272,0.518941229813163,1,15.831783,6,-0.409190641847576,"2023091010_706"
"1",1.07517440445725,1.00184829190851,1,18.981776,-2,-0.316247466944525,"2023091010_1040"
"1",3.95379564469384,3.96920646981232,0,18.4295045,-4,3.9394638389633,"2023091010_1072"
"0",2.54247910512554,2.57769276679747,1,17.304507,-4,1.18755222850299,"2023091010_1513"
